student_id,english,mathematics,physics,chemistry,computer_science
S001,95,94,92,93,96
S002,91,90,94,89,92
S003,97,96,95,94,98
S004,87,85,83,86,88
S005,82,84,81,80,85
S006,89,86,88,84,87
S007,80,82,79,83,81
S008,76,78,75,77,79
S009,74,72,76,73,75
S010,79,71,74,77,72
S011,70,73,72,71,74
S012,68,69,71,67,70
S013,65,63,67,66,64
S014,61,62,60,64,63
S015,69,66,68,65,67
S016,60,58,63,61,59
S017,55,57,54,56,58
S018,52,51,55,53,54
S019,59,56,58,57,55
S020,50,52,49,51,53
S021,45,47,44,46,48
S022,42,40,43,41,44
S023,48,46,45,47,49
S024,41,43,42,44,40
S025,35,38,36,34,37
S026,32,30,35,33,31
S027,39,37,38,36,34
S028,28,32,30,29,31
